,lower_court,count,first_case_num,cl_court_id,cl_court_name
470,"Superior Court of New Hampshire, Hillsborough County, Southern District",5,"95-E-0423, 96-C-0005, 99-C-0194, 02-C-0009",,
665,United States District Court for the Southern District of Texas,5,L-03-113,txsd,"District Court, S.D. Texas"
648,United States District Court for the Northern District of Georgia,5,1:03-CV-693-CAP,gand,United States District Court for the Northern District of Georgia
61,"Circuit Court of Maryland, Anne Arundel County",5,45063,,
321,"Court of Common Pleas of South Carolina, Richland County",5,1999-CP-40-2381,,
320,"Court of Common Pleas of South Carolina, Orangeburg County",5,00-CP-38-299,,
456,"Superior Court of Georgia, Telfair County",5,04CV488,,
559,"Supreme Court of New York, Kings County",5,11196/88,,
251,"Court of Appeals of Ohio, Morgan County",5,09AP-900,,
225,"Court of Appeals of Ohio, Erie County",5,"E-05-044, E-05-066",,
266,"Court of Appeals of Ohio, Tuscarawas County",5,2006AP070041,,
211,"Court of Appeals of Ohio, Belmont County",5,98-BA-52,,
259,"Court of Appeals of Ohio, Ross County",5,17CA3607,,
29,"Appellate Division, Superior Court of California, San Diego County",4,CA263754,,
422,"Superior Court of Georgia, Calhoun County",4,2005-v-032,,
490,"Superior Court of North Carolina, Edgecombe County",4,86-CRS-5970,,
90,"Circuit Court of Michigan, Saginaw County",4,90-003452-FC-5,,
646,United States District Court for the Northern District of California,4,"20-CV-05167-RRC-LHK-EMC, 20-CV-05169-RRC-LHK-EMC",cand,United States District Court for the Northern District of California
261,"Court of Appeals of Ohio, Scioto County",4,05CA3002,,
631,United States District Court for the Eastern District of California,4,1:02-CV-6135,caed,United States District Court for the Eastern District of California
219,"Court of Appeals of Ohio, Columbiana County",4,19 CO 0010,,
238,"Court of Appeals of Ohio, Knox County",4,01CA05,,
473,"Superior Court of New Hampshire, Strafford County",4,99-S-0584,,
123,"Circuit Court of West Virginia, Jackson County",4,99-F-51,,
488,"Superior Court of North Carolina, Cumberland County",4,86 CRS 53729,,
507,"Superior Court of North Carolina, Rockingham County",4,88CRS1742-43,,
499,"Superior Court of North Carolina, Mecklenburg County",4,78 CRS 114471,,
657,United States District Court for the Southern District of California,4,17-cv-1215,casd,United States District Court for the Southern District of California
483,"Superior Court of North Carolina, Catawba County",4,"91-CRS-7871, 7872",,
342,"District Court of Colorado, Adams County",4,2017 CV 30021,,
343,"District Court of Colorado, Arapahoe County",4,02-CV-4612,,
221,"Court of Appeals of Ohio, Crawford County",4,3-10-19,,
68,"Circuit Court of Maryland, Montgomery County",4,5597-D,,
427,"Superior Court of Georgia, Cobb County",4,03-1-6179-34,,
271,"Court of Appeals of Ohio, Wayne County",4,04CA0043,,
566,"Supreme Court of New York, Suffolk County",4,02464-2009,,
627,United States District Court for the District of Utah,4,2:01CV292G,utd,"District Court, D. Utah"
208,"Court of Appeals of Ohio, Ashland County",4,02 COA 028,,
270,"Court of Appeals of Ohio, Washington County",4,03CA3,,
234,"Court of Appeals of Ohio, Highland County",4,18CA0011,,
95,"Circuit Court of Michigan, Washtenaw County",4,10-002236,,
81,"Circuit Court of Michigan, Jackson County",4,03-000625-FH,,
464,"Superior Court of Massachusetts, Middlesex County",4,94280-94283,,
439,"Superior Court of Georgia, Hancock County",3,03HC-0002,,
614,United States District Court for the District of Hawaii,3,12-00184,hid,United States District Court for the District of Hawaii
353,"District Court of Colorado, Weld County",3,14CV3115,,
673,United States District Court for the Western District of Washington,3,3:22-cv-05152-RSLDGE-LJCV,wawd,"District Court, W.D. Washington"
41,"Appellate Term of the Supreme Court of New York, 2nd & 11th Jud. Dist.",3,2000-1596,nyappterm,Appellate Terms of the Supreme Court of New York
386,"Family Court of West Virginia, Cabell County",3,99-D-17,,
394,Orleans Parish Criminal District Court of Louisiana,3,280-729,,
557,"Supreme Court of New York, Bronx County",3,251498/16,,
382,"District Court of Wyoming, Sheridan County",3,2016-242,,
417,Superior Court of District of Columbia,3,"2021 SC3 441, 462, 483, 484, 485, 561, 655",supctdc,Superior Court of The District of Columbia
556,"Supreme Court of New York, Appellate Term, First Judicial Department",3,570516/22,nyappterm,Appellate Terms of the Supreme Court of New York
131,"Circuit Court of West Virginia, Monongalia County",3,02-C-346,,
143,"Circuit Court of West Virginia, Wood County",3,01-F-112,,
144,"Circuit Court of West Virginia, Wyoming County",3,07-C-35-M,,
500,"Superior Court of North Carolina, Moore County",3,"01 CRS 14, 01 CRS 15, O1 CRS 8169",,
666,United States District Court for the Southern District of West Virginia,3,2:11-CV-0989,wvsd,"District Court, S.D. West Virginia"
496,"Superior Court of North Carolina, Iredell County",3,92-CRS-1195,,
492,"Superior Court of North Carolina, Guilford County",3,92 CRS 44916,,
611,United States District Court for the District of Colorado,3,03-cv-02453-ZLW-CBS,cod,United States District Court for the District of Colorado
30,"Appellate Division, Superior Court of California, San Francisco County",3,149975,,
560,"Supreme Court of New York, Kings County - Civil Term",3,1467/85,,
140,"Circuit Court of West Virginia, Roane County",3,01-M-1,,
375,"District Court of New Mexico, Valencia County",3,D-1314-CR-2004-00065,,
28,"Appellate Division, Superior Court of California, San Bernardino County",3,ACRAS 1400140,,
388,Indiana Tax Court,3,49T10-0009-TA-98,indtc,Indiana Tax Court
149,"County Court of New York, Chemung County",3,JC 2481,nychemungctyct,Chemung County Court
138,"Circuit Court of West Virginia, Putnam County",3,03-C-119,,
27,"Appellate Division, Superior Court of California, Sacramento County",3,97M12758,,
504,"Superior Court of North Carolina, Pitt County",3,"92 CRS 9745, 92 CRS 18759",,
459,"Superior Court of Georgia, Washington County",3,01-CV-249,,
423,"Superior Court of Georgia, Charlton County",3,2002-SU-CV-294,,
