id,parent_court_id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,jurisdiction_name,jurisdiction_type,jurisdiction_state,parent_court_full_name,parent_court_id,note
cacb,,973,1,"answer,appeal,cmp,court,motion,misc,nef,notice,order",,73,2020-07-28T06:15:24.925Z,TRUE,FALSE,FALSE,158,Bankr. C.D. Cal.,C.D. California,"United States Bankruptcy Court, C.D. California",http://www.cacb.uscourts.gov/,,,FB,"Lawbox

The pacer_case_id appears to be correct.",Federal Bankruptcy,Federal,California,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
caeb,,32,1,all,,72,2020-07-28T06:11:13.481Z,TRUE,FALSE,FALSE,158.05,Bankr. E.D. Cal.,E.D. California,"United States Bankruptcy Court, E.D. California",http://www.caeb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,California,"District Court, E.D. California",caed,
caeb,,32,1,all,,72,2020-07-28T06:11:13.481Z,TRUE,FALSE,FALSE,158.05,Bankr. E.D. Cal.,E.D. California,"United States Bankruptcy Court, E.D. California",http://www.caeb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,California,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
canb,,34,1,all,,71,2020-07-28T06:15:13.617Z,TRUE,FALSE,FALSE,158.1,Bankr. N.D. Cal.,N.D. California,"United States Bankruptcy Court, N.D. California",http://www.canb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,California,"District Court, N.D. California",cand,
canb,,34,1,all,,71,2020-07-28T06:15:13.617Z,TRUE,FALSE,FALSE,158.1,Bankr. N.D. Cal.,N.D. California,"United States Bankruptcy Court, N.D. California",http://www.canb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,California,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
casb,,36,1,all,,74,2020-07-28T06:15:10.909Z,TRUE,FALSE,FALSE,158.2,Bankr. S.D. Cal.,S.D. California,"United States Bankruptcy Court, S.D. California",http://www.casb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,California,"District Court, S.D. California",casd,
casb,,36,1,all,,74,2020-07-28T06:15:10.909Z,TRUE,FALSE,FALSE,158.2,Bankr. S.D. Cal.,S.D. California,"United States Bankruptcy Court, S.D. California",http://www.casb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,California,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
cob,,38,1,all,,82,2020-07-28T06:13:11.714Z,TRUE,FALSE,FALSE,159,Bankr.D. Colo.,D. Colorado,"United States Bankruptcy Court, D. Colorado",http://www.cob.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Colorado,"District Court, D. Colorado",cod,
cob,,38,1,all,,82,2020-07-28T06:13:11.714Z,TRUE,FALSE,FALSE,159,Bankr.D. Colo.,D. Colorado,"United States Bankruptcy Court, D. Colorado",http://www.cob.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Colorado,Bankruptcy Appellate Panel of the Tenth Circuit,bap10,
ctb,,40,1,all,,5,2020-07-28T06:18:14.810Z,TRUE,FALSE,FALSE,159.5,Bankr. D. Conn.,D. Connecticut,"United States Bankruptcy Court, D. Connecticut",http://www.ctb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Connecticut,"District Court, D. Connecticut",ctd,
deb,,42,1,all,,11,2020-07-28T06:14:11.783Z,TRUE,FALSE,FALSE,159.7,Bankr. D. Del.,D. Delaware,"United States Bankruptcy Court, D. Delaware",http://www.deb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Delaware,"District Court, D. Delaware",ded,
dcb,,44,1,all,,90,2020-08-29T04:58:05.385Z,TRUE,FALSE,FALSE,160,Bankr. D.C.,District of Columbia,"United States Bankruptcy Court, District of Columbia",http://www.dcb.uscourts.gov/,,,FB,,Federal Bankruptcy,Federal,District of Columbia,"District Court, District of Columbia",dcd,
flmb,,46,1,"answer,appeal,court,motion,order,misc,caseupld,trustee",,3A,2020-07-28T06:14:19.009Z,TRUE,FALSE,FALSE,176.9,Bankr. M.D. Fla.,M.D. Florida,"United States Bankruptcy Court, M.D. Florida",http://www.flmb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Florida,"District Court, M.D. Florida",flmd,
flnb,,48,1,all,,29,2020-07-28T06:14:10.171Z,TRUE,FALSE,FALSE,176.95,Bankr. N.D. Fla.,N.D. Florida,"United States Bankruptcy Court, N.D. Florida",http://www.flnb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Florida,"District Court, N.D. Florida",flnd,
flsb,,50,1,all,,3C,2020-07-28T06:12:21.149Z,TRUE,FALSE,FALSE,177,Bankr. S.D. Florida,S.D. Florida,"United States Bankruptcy Court, S.D. Florida.",http://www.flsb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Florida,"District Court, S.D. Florida",flsd,
