docket_number,type,case_name,court_ids,granted,argument_date,decided_date,result,term,metadata_docket_number,metadata_case_name,lower_court_citation,lower_court_docket_number
17-1625,CFX,"RIMINI STREET, INC. V. ORACLE USA, INC.",USCA-9,9/27/18,1/14/19,3/4/19,REVERSED IN PART AND REMANDED,Oct-18,17-1625,"RIMINI STREET, INC. V. ORACLE USA INC.",879 F.3d 948,16-16832
17-1657,CFX,"MISSION PRODUCT HOLDINGS, INC. V. TEMPNOLOGY, LLC",USCA-1,10/26/18,2/20/19,5/20/19,REVERSED AND REMANDED,Oct-18,17-1657,"MISSION PRODUCT HOLDINGS, INC. V. TEMPNOLOGY, LLC",879 F. 3d 389,16-9016
17-1672,CFY,UNITED STATES V. HAYMOND,USCA-10,10/26/18,2/26/19,6/26/19,VACATED AND REMANDED,Oct-18,17-1672,UNITED STATES V. HAYMOND,869 F .3d 1153,16-5156
17-1702,CFX,MANHATTAN COMMUNITY ACCESS CORP. V. HALLECK,USCA-2,10/12/18,2/25/19,6/17/19,REVERSED IN PART AND REMANDED,Oct-18,17-1702,MANHATTAN COMMUNITY ACCESS V. HALLECK,882 F.3d 300,16-4155
17-1705,CFX,"PDR NETWORK, LLC V. CARLTON & HARRIS CHIROPRACTIC, INC.",USCA-4,11/13/18,3/25/19,6/20/19,VACATED AND REMANDED,Oct-18,17-1705,"PDR NETWORK, LLC V. CARLTON & HARRIS CHIROPRACTIC",883 F. 3d 459,16-2185
17-5554,CFY,STOKELING V. UNITED STATES,USCA-11,4/2/18,10/9/18,1/15/19,AFFIRMED,Oct-18,17-5554,STOKELING V. UNITED STATES,684 Fed.Appx. 870,16-12951
17-6086,CFY,GUNDY V. UNITED STATES,USCA-2,3/5/18,10/2/18,6/20/19,AFFIRMED (BK – no part),Oct-18,17-6086,GUNDY V. UNITED STATES,695 Fed.Appx. 639,16-1829
17-7505,CSX,MADISON V. ALABAMA,"Cir. Crt. AL, Mobile Cty",2/26/18,10/2/18,2/27/19,VACATED AND REMANDED (BK – no part),Oct-18,17-7505,MADISON V. ALABAMA,cc-1985-001385.80,CC-1985-001385.80
17-8151,CFX,BUCKLEW V. PRECYTHE,USCA-8,4/30/18,11/6/18,4/1/19,AFFIRMED,Oct-18,17-8151,BUCKLEW V. PRECYTHE,883 F.3d 1087,17-3052
17-8995,CFY,MONT V. UNITED STATES,USCA-6,11/2/18,2/26/19,6/3/19,AFFIRMED,Oct-18,17-8995,MONT V. UNITED STATES,723 Fed.Appx. 325,17-3732
17-9560,CFY,REHAIF V. UNITED STATES,USCA-11,1/11/19,4/23/19,6/21/19,REVERSED AND REMANDED,Oct-18,17-9560,REHAIF V. UNITED STATES,888 F.3d 1138,16-15860-AA
17-9572,CSH,FLOWERS V. MISSISSIPPI,SC-MS,11/2/18,3/20/19,6/21/19,REVERSED AND REMANDED,Oct-18,17-9572,FLOWERS V. MISSISSIPPI,240 So.3d 1082,2010-DP-01348-SCT
18-15,CFX,KISOR V. WILKIE,USCA-Fed,12/10/18,3/27/19,6/26/19,VACATED AND REMANDED,Oct-18,18-15,"KISOR V. WILKIE, SECRETARY OF VETERANS AFFAIRS",869 F.3d 1360,16-1929
18-96,CFX,TENNESSEE WINE AND SPIRITS RETAILERS ASSN V. THOMAS,USCA-6,9/27/18,1/16/19,6/26/19,AFFIRMED,Oct-18,18-96,TENNESSEE WINE & SPIRITS RETAILERS ASSOCIATION V. BLAIR,883 F.3d 608,17-5552
18-266,CFX,DUTRA GROUP V. BATTERTON,USCA-9,12/7/18,3/25/19,6/24/19,REVERSED AND REMANDED,Oct-18,18-266,THE DUTRA GROUP V. BATTERTON,880 F.3d 1089,15-56775
18-281,ATX,VIRGINIA HOUSE OF DELEGATES V. BETHUNE-HILL,"USDC-E. Dist., VA",,3/18/19,6/17/19,APPEAL DISMISSED,Oct-18,18-281,VIRGINIA HOUSE OF DELEGATES V. GOLDEN BETHUNE-HILL,326 F.Supp.3d 128,3
18-302,CFX,IANCU V. BRUNETTI,USCA-Fed,1/4/19,4/15/19,6/24/19,AFFIRMED,Oct-18,18-302,IANCU V. BRUNETTI,877 F.3d 1330,2015-1109
