docket_number,type,case_name,court_ids,granted,argument_date,decided_date,result,term,metadata_docket_number,metadata_case_name,lower_court_citation,lower_court_docket_number
11-702,CFX,"MONCRIEFFE V. HOLDER, ATT’Y GEN.",USCA-5,4/2/12,10/10/12,4/23/13,REVERSED AND REMANDED  11-770 CFY BAILEY V. UNITED STATES     Court: USCA-2    Granted: 6/4/12     Argument Date: 11/1/12   Decided: 2/19/13,Oct-12,,,,
11-889,CFX,TARRANT REGIONAL WATER DISTRICT V. HERRMANN,USCA-10 Granted: 1/4/13,1/4/13,4/23/13,6/13/13,"AFFIRMED  11-982* CFX ALREADY, LLC V. NIKE, INC.  Court: USCA-2 Granted: 6/25/12     Argument Date: 11/7/12   Decided: 1/9/13",Oct-12,,,,
11-1175,CFX,MARX V. GENERAL REVENUE CORP.,USCA-10,5/29/12,11/7/12,2/26/13,AFFIRMED     Granted: 5/29/12    Decided: 2/26/13,Oct-12,,,,
11-1351,CFX,LEVIN V. UNITED STATES,USCA-9,9/25/12,1/15/13,3/4/13,REVERSED AND REMANDED  11-1425 CSY MISSOURI V. McNEELY     Court: SC-MO    Granted: 9/25/12     Argument Date: 1/9/13   Decided: 4/17/13,Oct-12,,,,
11-8976,CFY,SMITH V. UNITED STATES,USCA-DC,6/18/12,11/6/12,1/9/13,AFFIRMED     Granted: 6/18/12    Decided: 1/9/13  11-9307 CFY HENDERSON V. UNITED STATES    Court: USCA-5     Argument Date: 11/28/12,Oct-12,,,,
12-10,CFX,AGENCY FOR INT’L DEVELOPMENT V. ALLIANCE FOR OPEN SOCIETY INT’L,USCA-2 Granted: 1/11/13 (EK – no part),1/11/13,4/22/13,6/20/13,AFFIRMED (EK – no part)  12-17* CFX McBURNEY V. YOUNG  Court: USCA-4 Granted: 10/5/12     Argument Date: 2/20/13   Decided: 4/29/13,Oct-12,,,,
12-71,CFX,ARIZONA V. INTER TRIBAL COUNCIL,USCA-9 Granted: 10/15/12,10/15/12,3/18/13,6/17/13,"AFFIRMED  12-96 CFX SHELBY COUNTY, AL V. HOLDER, ATTY GEN.  Court: USCA-DC Granted: 11/9/12     Argument Date: 2/27/13   Decided: 6/25/13",Oct-12,,,,
12-135,CFX,OXFORD HEALTH PLANS LLC V. SUTTER,USCA-3 Granted: 12/7/12,12/7/12,3/25/13,6/10/13,AFFIRMED  12-142 CFX MUTUAL PHARMACEUTICAL CO. V. BARTLETT     Court: USCA-1    Granted: 11/30/12     Argument Date: 3/19/13   Decided: 6/24/13,Oct-12,,,,
12-307,CFX,UNITED STATES V. WINDSOR,USCA-2,12/7/12,3/27/13,6/26/13,AFFIRMED  Granted: 12/7/12    Decided: 6/26/13,Oct-12,,,,
12-484,CFX,UNIV. OF TX SOUTHWESTERN MED. CENTER V. NASSAR,USCA-5,1/18/13,4/24/13,6/24/13,"VACATED AND REMANDED  12-547* CFH METRISH, WARDEN V. LANCASTER     Court: USCA-6  Argument Date: 4/24/13",Oct-12,,,,
99-804,CF,Y),,,,,,Oct-12,,,,
11-681,CFX,"HARRIS V. QUINN, GOV. OF IL",USCA-7 Granted: 10/1/13,10/1/13,1/21/14,6/30/14,"REVERSED IN PART, AFFIRMED IN PART, AND REMANDED  11-965# CFX DAIMLER AG V. BAUMAN     Court: USCA-9    Granted: 4/22/13     Argument Date: 10/15/13   Decided: 1/14/14",Oct-13,,,,
12-315,CSX,AIR WISCONSIN AIRLINES CORP. V. HOEPER,SC-CO,6/17/13,12/9/13,1/27/14,"REVERSED AND REMANDED  12-414 CFH BURT, WARDEN V. TITLOW  Court: USCA-6     Argument Date: 10/8/13",Oct-13,,,,
12-536,ATX,MCCUTCHEON V. FEDERAL ELECTION COMMISSION,USDC-DC,3/25/13,10/8/13,4/2/14,REVERSED AND REMANDED  12-562* CFX UNITED STATES V. WOODS  Court: USCA-5 Granted: 3/25/13     Argument Date: 10/9/13   Decided: 12/3/13,Oct-13,,,,
12-729,CFX,HEIMESHOFF V. HARTFORD LIFE & ACCIDENTAL INSURANCE CO.,USCA-2 Granted: 4/15/13,4/15/13,10/15/13,12/16/13,AFFIRMED  12-751* CFX FIFTH THIRD BANCORP V. DUDENHOEFFER     Court: USCA-6    Granted: 12/13/13     Argument Date: 4/2/14   Decided: 6/25/14,Oct-13,,,,
12-820,CFX,LOZANO V. ALVAREZ,USCA-2 Granted: 6/24/13,6/24/13,12/11/13,3/5/14,AFFIRMED  12-842 CFX REPUBLIC OF ARGENTINA V. NML CAPITAL    Court: USCA-2    Granted: 1/10/14     Argument Date: 4/21/14   Decided: 6/16/14,Oct-13,,,,
12-992,CFX,RAY HALUCH GRAVEL CO. V. CENTRAL PENSION FUND,USCA-1,6/17/13,12/9/13,1/15/14,REVERSED AND REMANDED  12-1036* CFX MISSISSIPPI V. AU OPTRONICS CORP.    Court: USCA-5  Argument Date: 11/6/13,Oct-13,,,,
12-1163,CFX,HIGHMARK INC. V. ALLCARE HEALTH MANAGEMENT SYS.,USCA-Fed,10/1/13,2/26/14,4/29/14,"VACATED AND REMANDED  12-1168# CFX MCCULLEN V. COAKLEY, ATT’Y GEN., MA  Court: USCA-1 Granted: 6/24/13  Argument Date: 1/15/14 Decided: 6/26/14",Oct-13,,,,
12-1281,CFX,NLRB V. CANNING,USCA-DC,6/24/13,1/13/14,6/26/14,AFFIRMED     Granted: 6/24/13    Decided: 6/26/14,Oct-13,,,,
12-7515,CFY,BURRAGE V. UNITED STATES,USCA-8,4/29/13,11/12/13,1/27/14,REVERSED AND REMANDED     Granted: 4/29/13    Decided: 1/27/14,Oct-13,,,,
13-115,CFX,WOOD V. MOSS,USCA-9 Granted: 11/26/13,11/26/13,3/26/14,5/27/14,"REVERSED  13-132# CSY RILEY V. CALIFORNIA  Court: CA-CA, 4 th App. Dist., Div. 1 Granted: 1/17/14     Argument Date: 4/29/14   Decided: 6/25/14",Oct-13,,,,
13-301,CFX,UNITED STATES V. CLARKE,USCA-11 Granted: 1/10/14,1/10/14,4/23/14,6/19/14,VACATED AND REMANDED  13-316# CFY LOUGHRIN V. UNITED STATES  Court: USCA-10 Granted: 12/13/13  Argument Date: 4/1/14 Decided: 6/23/14,Oct-13,,,,
13-461,CFX,ABC V. AEREO,USCA-2,1/10/14,4/22/14,6/25/14,REVERSED AND REMANDED  Granted: 1/10/14 (SAA – no part)    Decided: 6/25/14,Oct-13,,,,
12-1094,CSX,CLINE V. OKLAHOMA COALITION FOR REPRODUCTIVE JUSTICE,SC-OK,6/27/13,,,DISMISSED AS IMPROVIDENTLY GRANTED  12-1208 CFX UBS FINANCIAL SERVICES V. UNION DE EMPLEADOS DE MUELLES     Court: USCA-1    Granted: 6/24/13  Date: 8/26/13     R e s u l t : DISMISSED – Rule 46  12-7892 CFX BURNSIDE V. WALTERS  Court: USCA-6 Granted: 5/13/13     Order: 6/3/13     R e s u l t : VACATED AND REMANDED  No. of Cases made available for Argument (Hours): 84 (75)   No. of Cases Argued (Hours): 79 (70)   No. of Cases Disposed of (Hours): 84 (75)   DISPOSED OF WITH ARGUMENT:  By Signed Opinion/Judgment – 77 (68) By Per Curiam Opinion – Dismissed/Other – 2 (2; per curiams)   DISPOSED OF WITHOUT ARGUMENT:  By Signed Opinion/Judgment -   By Per Curiam Opinion – Dismissed/Other – 5 (5)  No. of Opinions: 69 (Signed – 67; Per Curiam – 2)  NOTE:   *Unanimous Court/ **Unanimous Court in Part/ #Unanimous in Judgment,Oct-13,,,,
2013,CASE,CODE KEY,,,,,,Oct-13,,,,
"126, Orig.",,KANSAS V. NEBRASKA AND COLORADO,USCA-4,7/1/14,10/14/14,2/24/15,"Exceptions to Special Master’s Report overruled, and Master’s   recommendations adopted.  12-1226 CFX YOUNG V. UPS  Court: USCA-4     Argument Date: 12/3/14",Oct-14,,,,
13-433,CFX,INTEGRITY STAFFING SOLUTIONS V. BUSK,USCA-9 Granted: 3/3/14,3/3/14,10/8/14,12/9/14,REVERSED  13-435# CFX OMNICARE V. LABORERS DIST. COUNCIL CONSTR. INDUSTRY     PENSION FUND     Court: USCA-6    Granted: 3/3/14     Argument Date: 11/3/14   Decided: 3/24/15,Oct-14,,,,
13-550,CFX,TIBBLE V. EDISON INTERNATIONAL,USCA-9,10/2/14,2/24/15,5/18/15,VACATED AND REMANDED  13-553 CFX ALABAMA DEPT. OF REVENUE V. CSX TRANSPORTATION     Court: USCA-11    Granted: 7/1/14     Argument Date: 12/9/14   Decided: 3/4/15,Oct-14,,,,
13-720,CFX,"KIMBLE V. MARVEL ENTERTAINMENT, LLC",USCA-9 Granted: 12/12/14,12/12/14,3/31/15,6/22/15,"AFFIRMED  13-854 CFX TEVA PHARMACEUTICALS USA, INC. V. SANDOZ, INC.    Court: USCA-Fed.    Granted: 3/31/14     Argument Date: 10/15/14   Decided: 1/20/15",Oct-14,,,,
13-975,CFX,"T-MOBILE SOUTH, LLC V. CITY OF ROSWELL",USCA-11 Granted: 5/5/14,5/5/14,11/10/14,1/14/15,REVERSED AND REMANDED  13-983 CFY ELONIS V. UNITED STATES  Court: USCA-3     Argument Date: 12/1/14,Oct-14,,,,
13-1074,CFX,UNITED STATES V. WONG,USCA-DC Granted: 6/16/14,6/16/14,12/1/14,3/9/15,REVERSED  13-1074 CFX UNITED STATES V. WONG  Court: USCA-9 Granted: 6/30/14  Argument Date: 12/10/14 Decided: 4/22/15,Oct-14,,,,
13-1211,CFX,"HANA FINANCIAL, INC. V. HANA BANK",USCA-9,6/23/14,12/3/14,1/21/15,"AFFIRMED  Granted: 6/23/14    Decided: 1/21/15  13-1314 ATX AZ STATE LEGISLATURE V. AZ INDEP. REDISTRICTING   Court: USDC, Ariz. Juris Postponed:  10/2/14  Argument Date: 3/2/15 Decided: 6/29/15",Oct-14,,,,
13-1412,CFX,SAN FRANCISCO V. SHEEHAN,USCA-9 Granted: 11/25/14 (SB – no part),11/25/14,3/23/15,5/18/15,"CERTIORARI DISMISSED IN PART; REVERSED IN PART AND     R E M A N D E D (SB – no part)  13-1421)**#  14-163 )  CFX  CFX  BANK OF AMERICA, N.A. V. CAULKETT  BANK OF AMERICA, N.A. V. TOLEDO-CARDONA     Court: USCA-11    Granted: 11/17/14     Argument Date: 3/24/15   Decided: 6/1/15",Oct-14,,,,
13-6827,CFX,"HOLT V. HOBBS, DIR., AR DOC",USCA-8,3/3/14,10/7/14,1/20/15,"REVERSED AND REMANDED  13-7211 CFH JENNINGS V. STEPHENS, DIR., TX DCJ    Court: USCA-5    Granted: 3/24/14     Argument Date: 10/15/14   Decided: 1/14/15",Oct-14,,,,
