cited_cluster_id,citing_cluster_id,citing_court_id
85272,361960,ca9
85272,111541,scotus
85272,1594075,ala
85272,1953733,ksd
85272,2309270,dcd
85272,778656,ca5
85272,1514805,mied
85272,2021251,ohnb
85272,105090,scotus
85272,105993,scotus
85272,1948031,mnd
85272,106508,scotus
85272,105193,scotus
85272,105326,scotus
85272,105172,scotus
85272,105304,scotus
85272,105197,scotus
85272,106307,scotus
85272,101762,scotus
85272,1519315,mowd
85272,2249995,cit
85272,1118569,okla
85272,106282,scotus
85272,105533,scotus
85272,103287,scotus
85272,1144220,wash
85272,105212,scotus
85272,1920907,mich
85272,106863,scotus
85272,284577,ca6
85272,381936,ca5
85272,105018,scotus
85272,105628,scotus
85272,106879,scotus
85272,76832,ca11
85272,105630,scotus
85272,1598100,flmd
85272,107201,scotus
85272,102167,scotus
85272,752452,ca7
85272,102219,scotus
85272,105631,scotus
85272,102986,scotus
85272,1469566,cand
85272,134745,scotus
85272,101899,scotus
85272,102275,scotus
85272,103017,scotus
85272,724861,ca6
85272,724866,ca11
85272,1524276,paed
85272,102381,scotus
85272,110826,scotus
85272,102387,scotus
85272,102389,scotus
85272,1513269,cand
85272,110488,scotus
85272,1120875,or
85272,2208991,minn
85272,5294287,njsuperctappdiv
85272,102580,scotus
85272,112429,scotus
85272,102596,scotus
85272,1513348,nhd
85272,289208,ca5
85272,103219,scotus
85272,108804,scotus
85272,102605,scotus
85272,2302737,caed
85272,109244,scotus
85272,107734,scotus
85272,108819,scotus
85272,103230,scotus
85272,109436,scotus
85272,107744,scotus
85272,380857,ca10
85272,2308066,ded
85272,1981617,ilcd
85272,1918393,la
85272,737440,ca8
85272,269865,cadc
85272,6532032,mass
85272,3555785,mo
85272,2261731,nced
85272,762203,ca4
85272,746244,ca5
85272,283746,ca8
85272,1750956,nvd
85272,1192821,colo
85272,1918907,ala
85272,6225645,scotus
85272,6541211,mass
85272,6541220,mass
85272,2752189,ca8
85272,1187593,okla
85272,6245830,uscfc
85272,1605641,flsd
85272,2127562,mad
85272,2115926,wis
85272,101632,scotus
85272,1205456,idaho
85272,2292790,calctapp
85272,764979,ca9
85272,109824,scotus
85272,103047,scotus
85272,6544025,mass
85272,112674,scotus
